model,rep,condition,trial_number,raw_choice,final_choice,intervened,correct,persistence_error
claude,6,OracleFull,33,color,color,0,0,0
claude,6,OracleFull,34,number,number,0,1,0
claude,6,OracleFull,35,color,color,0,0,0
claude,6,OracleFull,36,color,color,0,0,0
claude,7,RawLLM,1,color,color,0,1,0
claude,7,RawLLM,2,color,color,0,1,0
claude,7,RawLLM,3,color,color,0,1,0
claude,7,RawLLM,4,color,color,0,1,0
claude,7,RawLLM,5,color,color,0,1,0
claude,7,RawLLM,6,color,color,0,1,0
claude,7,RawLLM,7,color,color,0,0,1
claude,7,RawLLM,8,number,number,0,0,0
claude,7,RawLLM,9,color,color,0,0,1
claude,7,RawLLM,10,number,number,0,0,0
claude,7,RawLLM,11,color,color,0,0,1
claude,7,RawLLM,12,number,number,0,0,0
claude,7,RawLLM,13,color,color,0,0,0
claude,7,RawLLM,14,color,color,0,0,0
claude,7,RawLLM,15,color,color,0,0,0
claude,7,RawLLM,16,color,color,0,0,0
claude,7,RawLLM,17,color,color,0,0,0
claude,7,RawLLM,18,color,color,0,0,0
claude,7,RawLLM,19,number,number,0,0,1
claude,7,RawLLM,20,color,color,0,1,0
claude,7,RawLLM,21,color,color,0,1,0
claude,7,RawLLM,22,number,number,0,0,1
claude,7,RawLLM,23,color,color,0,1,0
claude,7,RawLLM,24,color,color,0,1,0
claude,7,RawLLM,25,color,color,0,0,1
claude,7,RawLLM,26,color,color,0,0,1
claude,7,RawLLM,27,color,color,0,0,1
claude,7,RawLLM,28,color,color,0,0,1
claude,7,RawLLM,29,shape,shape,0,1,0
claude,7,RawLLM,30,color,color,0,0,1
claude,7,RawLLM,31,color,color,0,0,0
claude,7,RawLLM,32,shape,shape,0,0,1
claude,7,RawLLM,33,color,color,0,0,0
claude,7,RawLLM,34,number,number,0,1,0
claude,7,RawLLM,35,color,color,0,0,0
claude,7,RawLLM,36,shape,shape,0,0,1
claude,7,RuleBlindFull,1,color,color,0,1,0
claude,7,RuleBlindFull,2,color,color,0,1,0
claude,7,RuleBlindFull,3,color,color,0,1,0
claude,7,RuleBlindFull,4,color,color,0,1,0
claude,7,RuleBlindFull,5,color,color,0,1,0
claude,7,RuleBlindFull,6,color,color,0,1,0
claude,7,RuleBlindFull,7,color,color,0,0,1
claude,7,RuleBlindFull,8,number,number,0,0,0
claude,7,RuleBlindFull,9,color,color,0,0,1
claude,7,RuleBlindFull,10,number,number,0,0,0
claude,7,RuleBlindFull,11,color,shape,1,1,0
claude,7,RuleBlindFull,12,number,number,0,0,0
claude,7,RuleBlindFull,13,color,color,0,0,0
claude,7,RuleBlindFull,14,color,color,0,0,0
claude,7,RuleBlindFull,15,color,color,0,0,0
claude,7,RuleBlindFull,16,color,color,0,0,0
claude,7,RuleBlindFull,17,color,color,0,0,0
claude,7,RuleBlindFull,18,color,color,0,0,0
claude,7,RuleBlindFull,19,number,number,0,0,1
claude,7,RuleBlindFull,20,color,color,0,1,0
claude,7,RuleBlindFull,21,color,color,0,1,0
claude,7,RuleBlindFull,22,number,number,0,0,1
claude,7,RuleBlindFull,23,color,color,0,1,0
claude,7,RuleBlindFull,24,color,color,0,1,0
claude,7,RuleBlindFull,25,color,color,0,0,1
claude,7,RuleBlindFull,26,color,color,0,0,1
claude,7,RuleBlindFull,27,color,shape,1,1,0
claude,7,RuleBlindFull,28,color,shape,1,1,0
claude,7,RuleBlindFull,29,shape,shape,0,1,0
claude,7,RuleBlindFull,30,color,color,0,0,1
claude,7,RuleBlindFull,31,color,color,0,0,0
claude,7,RuleBlindFull,32,shape,shape,0,0,1
claude,7,RuleBlindFull,33,color,color,0,0,0
claude,7,RuleBlindFull,34,number,number,0,1,0
claude,7,RuleBlindFull,35,color,color,0,0,0
claude,7,RuleBlindFull,36,shape,shape,0,0,1
claude,7,NoVeto,1,color,color,0,1,0
claude,7,NoVeto,2,color,color,0,1,0
claude,7,NoVeto,3,color,color,0,1,0
claude,7,NoVeto,4,color,color,0,1,0
claude,7,NoVeto,5,color,color,0,1,0
claude,7,NoVeto,6,color,color,0,1,0
claude,7,NoVeto,7,color,color,0,0,1
claude,7,NoVeto,8,number,number,0,0,0
claude,7,NoVeto,9,color,color,0,0,1
claude,7,NoVeto,10,number,number,0,0,0
claude,7,NoVeto,11,color,color,0,0,1
claude,7,NoVeto,12,number,number,0,0,0
claude,7,NoVeto,13,color,color,0,0,0
claude,7,NoVeto,14,color,color,0,0,0
claude,7,NoVeto,15,color,color,0,0,0
claude,7,NoVeto,16,color,color,0,0,0
claude,7,NoVeto,17,color,color,0,0,0
claude,7,NoVeto,18,color,color,0,0,0
claude,7,NoVeto,19,number,number,0,0,1
claude,7,NoVeto,20,color,color,0,1,0
claude,7,NoVeto,21,color,color,0,1,0
claude,7,NoVeto,22,number,number,0,0,1
claude,7,NoVeto,23,color,color,0,1,0
claude,7,NoVeto,24,color,color,0,1,0
claude,7,NoVeto,25,color,color,0,0,1
claude,7,NoVeto,26,color,color,0,0,1
claude,7,NoVeto,27,color,color,0,0,1
claude,7,NoVeto,28,color,color,0,0,1
claude,7,NoVeto,29,shape,shape,0,1,0
claude,7,NoVeto,30,color,color,0,0,1
claude,7,NoVeto,31,color,color,0,0,0
claude,7,NoVeto,32,shape,shape,0,0,1
claude,7,NoVeto,33,color,color,0,0,0
claude,7,NoVeto,34,number,number,0,1,0
claude,7,NoVeto,35,color,color,0,0,0
claude,7,NoVeto,36,shape,shape,0,0,1
claude,7,TrajectoryOnly,1,color,color,0,1,0
claude,7,TrajectoryOnly,2,color,color,0,1,0
claude,7,TrajectoryOnly,3,color,color,0,1,0
claude,7,TrajectoryOnly,4,color,color,0,1,0
claude,7,TrajectoryOnly,5,color,color,0,1,0
claude,7,TrajectoryOnly,6,color,shape,1,0,0
claude,7,TrajectoryOnly,7,color,color,0,0,1
claude,7,TrajectoryOnly,8,number,number,0,0,0
claude,7,TrajectoryOnly,9,color,color,0,0,1
claude,7,TrajectoryOnly,10,number,number,0,0,0
claude,7,TrajectoryOnly,11,color,color,0,0,1
claude,7,TrajectoryOnly,12,number,number,0,0,0
claude,7,TrajectoryOnly,13,color,color,0,0,0
claude,7,TrajectoryOnly,14,color,color,0,0,0
claude,7,TrajectoryOnly,15,color,color,0,0,0
claude,7,TrajectoryOnly,16,color,color,0,0,0
claude,7,TrajectoryOnly,17,color,color,0,0,0
claude,7,TrajectoryOnly,18,color,shape,1,0,1
claude,7,TrajectoryOnly,19,number,number,0,0,1
claude,7,TrajectoryOnly,20,color,color,0,1,0
claude,7,TrajectoryOnly,21,color,color,0,1,0
claude,7,TrajectoryOnly,22,number,number,0,0,1
claude,7,TrajectoryOnly,23,color,color,0,1,0
claude,7,TrajectoryOnly,24,color,color,0,1,0
claude,7,TrajectoryOnly,25,color,color,0,0,1
claude,7,TrajectoryOnly,26,color,color,0,0,1
claude,7,TrajectoryOnly,27,color,color,0,0,1
claude,7,TrajectoryOnly,28,color,shape,1,1,0
claude,7,TrajectoryOnly,29,shape,shape,0,1,0
claude,7,TrajectoryOnly,30,color,color,0,0,1
claude,7,TrajectoryOnly,31,color,color,0,0,0
claude,7,TrajectoryOnly,32,shape,shape,0,0,1
claude,7,TrajectoryOnly,33,color,color,0,0,0
claude,7,TrajectoryOnly,34,number,number,0,1,0
claude,7,TrajectoryOnly,35,color,color,0,0,0
claude,7,TrajectoryOnly,36,shape,shape,0,0,1
claude,7,YokedRandom,1,color,color,0,1,0
claude,7,YokedRandom,2,color,color,0,1,0
claude,7,YokedRandom,3,color,color,0,1,0
claude,7,YokedRandom,4,color,color,0,1,0
claude,7,YokedRandom,5,color,color,0,1,0
claude,7,YokedRandom,6,color,color,0,1,0
claude,7,YokedRandom,7,color,color,0,0,1
claude,7,YokedRandom,8,number,number,0,0,0
claude,7,YokedRandom,9,color,color,0,0,1
claude,7,YokedRandom,10,number,number,0,0,0
claude,7,YokedRandom,11,color,number,1,0,0
claude,7,YokedRandom,12,number,number,0,0,0
claude,7,YokedRandom,13,color,color,0,0,0
claude,7,YokedRandom,14,color,color,0,0,0
claude,7,YokedRandom,15,color,color,0,0,0
claude,7,YokedRandom,16,color,color,0,0,0
claude,7,YokedRandom,17,color,color,0,0,0
claude,7,YokedRandom,18,color,color,0,0,0
claude,7,YokedRandom,19,number,number,0,0,1
claude,7,YokedRandom,20,color,color,0,1,0
claude,7,YokedRandom,21,color,color,0,1,0
claude,7,YokedRandom,22,number,number,0,0,1
claude,7,YokedRandom,23,color,color,0,1,0
claude,7,YokedRandom,24,color,color,0,1,0
claude,7,YokedRandom,25,color,color,0,0,1
claude,7,YokedRandom,26,color,color,0,0,1
claude,7,YokedRandom,27,color,shape,1,1,0
claude,7,YokedRandom,28,color,number,1,0,0
claude,7,YokedRandom,29,shape,shape,0,1,0
claude,7,YokedRandom,30,color,color,0,0,1
claude,7,YokedRandom,31,color,color,0,0,0
claude,7,YokedRandom,32,shape,shape,0,0,1
claude,7,YokedRandom,33,color,color,0,0,0
claude,7,YokedRandom,34,number,number,0,1,0
claude,7,YokedRandom,35,color,color,0,0,0
claude,7,YokedRandom,36,shape,shape,0,0,1
claude,7,OracleFull,1,color,color,0,1,0
claude,7,OracleFull,2,color,color,0,1,0
claude,7,OracleFull,3,color,color,0,1,0
claude,7,OracleFull,4,color,color,0,1,0
claude,7,OracleFull,5,color,color,0,1,0
claude,7,OracleFull,6,color,color,0,1,0
claude,7,OracleFull,7,color,shape,1,1,0
claude,7,OracleFull,8,number,number,0,0,0
claude,7,OracleFull,9,color,color,0,0,1
claude,7,OracleFull,10,number,number,0,0,0
claude,7,OracleFull,11,color,color,0,0,1
claude,7,OracleFull,12,number,number,0,0,0
claude,7,OracleFull,13,color,color,0,0,0
claude,7,OracleFull,14,color,color,0,0,0
claude,7,OracleFull,15,color,number,1,1,0
claude,7,OracleFull,16,color,color,0,0,0
claude,7,OracleFull,17,color,color,0,0,0
claude,7,OracleFull,18,color,number,1,1,0
claude,7,OracleFull,19,number,color,1,1,0
claude,7,OracleFull,20,color,color,0,1,0
claude,7,OracleFull,21,color,color,0,1,0
claude,7,OracleFull,22,number,number,0,0,1
claude,7,OracleFull,23,color,color,0,1,0
claude,7,OracleFull,24,color,color,0,1,0
claude,7,OracleFull,25,color,shape,1,1,0
claude,7,OracleFull,26,color,shape,1,1,0
claude,7,OracleFull,27,color,shape,1,1,0
claude,7,OracleFull,28,color,color,0,0,1
claude,7,OracleFull,29,shape,shape,0,1,0
claude,7,OracleFull,30,color,color,0,0,1
claude,7,OracleFull,31,color,color,0,0,0
claude,7,OracleFull,32,shape,number,1,1,0
claude,7,OracleFull,33,color,color,0,0,0
claude,7,OracleFull,34,number,number,0,1,0
claude,7,OracleFull,35,color,color,0,0,0
claude,7,OracleFull,36,shape,shape,0,0,1
claude,8,RawLLM,1,color,color,0,1,0
claude,8,RawLLM,2,color,color,0,1,0
claude,8,RawLLM,3,color,color,0,1,0
claude,8,RawLLM,4,color,color,0,1,0
claude,8,RawLLM,5,color,color,0,1,0
claude,8,RawLLM,6,color,color,0,1,0
claude,8,RawLLM,7,color,color,0,0,1
claude,8,RawLLM,8,number,number,0,0,0
claude,8,RawLLM,9,number,number,0,0,0
claude,8,RawLLM,10,shape,shape,0,1,0
claude,8,RawLLM,11,number,number,0,0,0
claude,8,RawLLM,12,number,number,0,0,0
claude,8,RawLLM,13,color,color,0,0,0
claude,8,RawLLM,14,color,color,0,0,0
claude,8,RawLLM,15,color,color,0,0,0
claude,8,RawLLM,16,color,color,0,0,0
claude,8,RawLLM,17,color,color,0,0,0
claude,8,RawLLM,18,color,color,0,0,0
claude,8,RawLLM,19,number,number,0,0,1
claude,8,RawLLM,20,color,color,0,1,0
claude,8,RawLLM,21,shape,shape,0,0,0
claude,8,RawLLM,22,color,color,0,1,0
claude,8,RawLLM,23,shape,shape,0,0,0
claude,8,RawLLM,24,color,color,0,1,0
claude,8,RawLLM,25,color,color,0,0,1
claude,8,RawLLM,26,color,color,0,0,1
claude,8,RawLLM,27,color,color,0,0,1
claude,8,RawLLM,28,color,color,0,0,1
claude,8,RawLLM,29,color,color,0,0,1
claude,8,RawLLM,30,color,color,0,0,1
claude,8,RawLLM,31,color,color,0,0,0
claude,8,RawLLM,32,color,color,0,0,0
claude,8,RawLLM,33,color,color,0,0,0
claude,8,RawLLM,34,color,color,0,0,0
claude,8,RawLLM,35,color,color,0,0,0
claude,8,RawLLM,36,number,number,0,1,0
claude,8,RuleBlindFull,1,color,color,0,1,0
claude,8,RuleBlindFull,2,color,color,0,1,0
claude,8,RuleBlindFull,3,color,color,0,1,0
claude,8,RuleBlindFull,4,color,color,0,1,0
claude,8,RuleBlindFull,5,color,color,0,1,0
claude,8,RuleBlindFull,6,color,color,0,1,0
claude,8,RuleBlindFull,7,color,color,0,0,1
claude,8,RuleBlindFull,8,number,number,0,0,0
claude,8,RuleBlindFull,9,number,number,0,0,0
claude,8,RuleBlindFull,10,shape,shape,0,1,0
claude,8,RuleBlindFull,11,number,number,0,0,0
claude,8,RuleBlindFull,12,number,number,0,0,0
claude,8,RuleBlindFull,13,color,color,0,0,0
claude,8,RuleBlindFull,14,color,shape,1,0,1
claude,8,RuleBlindFull,15,color,number,1,1,0
claude,8,RuleBlindFull,16,color,number,1,1,0
claude,8,RuleBlindFull,17,color,color,0,0,0
claude,8,RuleBlindFull,18,color,color,0,0,0
claude,8,RuleBlindFull,19,number,number,0,0,1
claude,8,RuleBlindFull,20,color,color,0,1,0
claude,8,RuleBlindFull,21,shape,shape,0,0,0
claude,8,RuleBlindFull,22,color,color,0,1,0
claude,8,RuleBlindFull,23,shape,shape,0,0,0
claude,8,RuleBlindFull,24,color,color,0,1,0
claude,8,RuleBlindFull,25,color,color,0,0,1
claude,8,RuleBlindFull,26,color,color,0,0,1
claude,8,RuleBlindFull,27,color,color,0,0,1
claude,8,RuleBlindFull,28,color,color,0,0,1
claude,8,RuleBlindFull,29,color,color,0,0,1
claude,8,RuleBlindFull,30,color,color,0,0,1
claude,8,RuleBlindFull,31,color,color,0,0,0
claude,8,RuleBlindFull,32,color,color,0,0,0
claude,8,RuleBlindFull,33,color,color,0,0,0
claude,8,RuleBlindFull,34,color,color,0,0,0
claude,8,RuleBlindFull,35,color,color,0,0,0
claude,8,RuleBlindFull,36,number,number,0,1,0
claude,8,NoVeto,1,color,color,0,1,0
claude,8,NoVeto,2,color,color,0,1,0
claude,8,NoVeto,3,color,color,0,1,0
claude,8,NoVeto,4,color,color,0,1,0
claude,8,NoVeto,5,color,color,0,1,0
claude,8,NoVeto,6,color,color,0,1,0
claude,8,NoVeto,7,color,color,0,0,1
claude,8,NoVeto,8,number,number,0,0,0
claude,8,NoVeto,9,number,number,0,0,0
claude,8,NoVeto,10,shape,shape,0,1,0
claude,8,NoVeto,11,number,number,0,0,0
claude,8,NoVeto,12,number,number,0,0,0
claude,8,NoVeto,13,color,color,0,0,0
claude,8,NoVeto,14,color,color,0,0,0
claude,8,NoVeto,15,color,color,0,0,0
claude,8,NoVeto,16,color,color,0,0,0
claude,8,NoVeto,17,color,color,0,0,0
claude,8,NoVeto,18,color,color,0,0,0
claude,8,NoVeto,19,number,number,0,0,1
claude,8,NoVeto,20,color,color,0,1,0
claude,8,NoVeto,21,shape,shape,0,0,0
claude,8,NoVeto,22,color,color,0,1,0
claude,8,NoVeto,23,shape,shape,0,0,0
claude,8,NoVeto,24,color,color,0,1,0
claude,8,NoVeto,25,color,color,0,0,1
claude,8,NoVeto,26,color,color,0,0,1
claude,8,NoVeto,27,color,color,0,0,1
claude,8,NoVeto,28,color,color,0,0,1
claude,8,NoVeto,29,color,color,0,0,1
claude,8,NoVeto,30,color,color,0,0,1
claude,8,NoVeto,31,color,color,0,0,0
claude,8,NoVeto,32,color,color,0,0,0
claude,8,NoVeto,33,color,color,0,0,0
claude,8,NoVeto,34,color,color,0,0,0
claude,8,NoVeto,35,color,color,0,0,0
claude,8,NoVeto,36,number,number,0,1,0
claude,8,TrajectoryOnly,1,color,color,0,1,0
claude,8,TrajectoryOnly,2,color,color,0,1,0
claude,8,TrajectoryOnly,3,color,color,0,1,0
claude,8,TrajectoryOnly,4,color,color,0,1,0
claude,8,TrajectoryOnly,5,color,color,0,1,0
claude,8,TrajectoryOnly,6,color,shape,1,0,0
claude,8,TrajectoryOnly,7,color,color,0,0,1
claude,8,TrajectoryOnly,8,number,number,0,0,0
claude,8,TrajectoryOnly,9,number,number,0,0,0
claude,8,TrajectoryOnly,10,shape,shape,0,1,0
claude,8,TrajectoryOnly,11,number,number,0,0,0
claude,8,TrajectoryOnly,12,number,number,0,0,0
claude,8,TrajectoryOnly,13,color,color,0,0,0
claude,8,TrajectoryOnly,14,color,color,0,0,0
claude,8,TrajectoryOnly,15,color,color,0,0,0
claude,8,TrajectoryOnly,16,color,color,0,0,0
claude,8,TrajectoryOnly,17,color,color,0,0,0
claude,8,TrajectoryOnly,18,color,shape,1,0,1
claude,8,TrajectoryOnly,19,number,number,0,0,1
claude,8,TrajectoryOnly,20,color,color,0,1,0
claude,8,TrajectoryOnly,21,shape,shape,0,0,0
claude,8,TrajectoryOnly,22,color,color,0,1,0
claude,8,TrajectoryOnly,23,shape,shape,0,0,0
claude,8,TrajectoryOnly,24,color,color,0,1,0
claude,8,TrajectoryOnly,25,color,color,0,0,1
claude,8,TrajectoryOnly,26,color,color,0,0,1
claude,8,TrajectoryOnly,27,color,color,0,0,1
claude,8,TrajectoryOnly,28,color,color,0,0,1
claude,8,TrajectoryOnly,29,color,number,1,0,0
claude,8,TrajectoryOnly,30,color,color,0,0,1
claude,8,TrajectoryOnly,31,color,color,0,0,0
claude,8,TrajectoryOnly,32,color,color,0,0,0
claude,8,TrajectoryOnly,33,color,color,0,0,0
claude,8,TrajectoryOnly,34,color,color,0,0,0
claude,8,TrajectoryOnly,35,color,shape,1,0,1
claude,8,TrajectoryOnly,36,number,number,0,1,0
claude,8,YokedRandom,1,color,color,0,1,0
claude,8,YokedRandom,2,color,color,0,1,0
claude,8,YokedRandom,3,color,color,0,1,0
claude,8,YokedRandom,4,color,color,0,1,0
claude,8,YokedRandom,5,color,color,0,1,0
claude,8,YokedRandom,6,color,color,0,1,0
claude,8,YokedRandom,7,color,color,0,0,1
claude,8,YokedRandom,8,number,number,0,0,0
claude,8,YokedRandom,9,number,number,0,0,0
claude,8,YokedRandom,10,shape,shape,0,1,0
claude,8,YokedRandom,11,number,number,0,0,0
claude,8,YokedRandom,12,number,number,0,0,0
claude,8,YokedRandom,13,color,color,0,0,0
claude,8,YokedRandom,14,color,number,1,1,0
claude,8,YokedRandom,15,color,number,1,1,0
claude,8,YokedRandom,16,color,shape,1,0,1
claude,8,YokedRandom,17,color,color,0,0,0
claude,8,YokedRandom,18,color,color,0,0,0
claude,8,YokedRandom,19,number,number,0,0,1
claude,8,YokedRandom,20,color,color,0,1,0
claude,8,YokedRandom,21,shape,shape,0,0,0
claude,8,YokedRandom,22,color,color,0,1,0
claude,8,YokedRandom,23,shape,shape,0,0,0
claude,8,YokedRandom,24,color,color,0,1,0
claude,8,YokedRandom,25,color,color,0,0,1
claude,8,YokedRandom,26,color,color,0,0,1
claude,8,YokedRandom,27,color,color,0,0,1
claude,8,YokedRandom,28,color,color,0,0,1
claude,8,YokedRandom,29,color,color,0,0,1
claude,8,YokedRandom,30,color,color,0,0,1
claude,8,YokedRandom,31,color,color,0,0,0
claude,8,YokedRandom,32,color,color,0,0,0
claude,8,YokedRandom,33,color,color,0,0,0
claude,8,YokedRandom,34,color,color,0,0,0
claude,8,YokedRandom,35,color,color,0,0,0
claude,8,YokedRandom,36,number,number,0,1,0
claude,8,OracleFull,1,color,color,0,1,0
claude,8,OracleFull,2,color,color,0,1,0
claude,8,OracleFull,3,color,color,0,1,0
claude,8,OracleFull,4,color,color,0,1,0
claude,8,OracleFull,5,color,color,0,1,0
claude,8,OracleFull,6,color,color,0,1,0
claude,8,OracleFull,7,color,shape,1,1,0
claude,8,OracleFull,8,number,number,0,0,0
claude,8,OracleFull,9,number,number,0,0,0
claude,8,OracleFull,10,shape,shape,0,1,0
claude,8,OracleFull,11,number,number,0,0,0
claude,8,OracleFull,12,number,number,0,0,0
claude,8,OracleFull,13,color,color,0,0,0
claude,8,OracleFull,14,color,color,0,0,0
claude,8,OracleFull,15,color,number,1,1,0
claude,8,OracleFull,16,color,color,0,0,0
claude,8,OracleFull,17,color,color,0,0,0
claude,8,OracleFull,18,color,number,1,1,0
claude,8,OracleFull,19,number,color,1,1,0
claude,8,OracleFull,20,color,color,0,1,0
claude,8,OracleFull,21,shape,shape,0,0,0
claude,8,OracleFull,22,color,color,0,1,0
claude,8,OracleFull,23,shape,shape,0,0,0
claude,8,OracleFull,24,color,color,0,1,0
claude,8,OracleFull,25,color,shape,1,1,0
claude,8,OracleFull,26,color,shape,1,1,0
claude,8,OracleFull,27,color,shape,1,1,0
claude,8,OracleFull,28,color,color,0,0,1
claude,8,OracleFull,29,color,color,0,0,1
claude,8,OracleFull,30,color,shape,1,1,0
claude,8,OracleFull,31,color,color,0,0,0
claude,8,OracleFull,32,color,color,0,0,0
claude,8,OracleFull,33,color,number,1,1,0
claude,8,OracleFull,34,color,color,0,0,0
claude,8,OracleFull,35,color,color,0,0,0
claude,8,OracleFull,36,number,number,0,1,0
claude,9,RawLLM,1,color,color,0,1,0
claude,9,RawLLM,2,color,color,0,1,0
claude,9,RawLLM,3,color,color,0,1,0
claude,9,RawLLM,4,color,color,0,1,0
claude,9,RawLLM,5,color,color,0,1,0
claude,9,RawLLM,6,color,color,0,1,0
claude,9,RawLLM,7,color,color,0,0,1
claude,9,RawLLM,8,color,color,0,0,1
claude,9,RawLLM,9,color,color,0,0,1
claude,9,RawLLM,10,color,color,0,0,1
claude,9,RawLLM,11,color,color,0,0,1
claude,9,RawLLM,12,number,number,0,0,0
claude,9,RawLLM,13,color,color,0,0,0
claude,9,RawLLM,14,color,color,0,0,0
claude,9,RawLLM,15,color,color,0,0,0
claude,9,RawLLM,16,color,color,0,0,0
claude,9,RawLLM,17,color,color,0,0,0
claude,9,RawLLM,18,color,color,0,0,0
claude,9,RawLLM,19,number,number,0,0,1
claude,9,RawLLM,20,color,color,0,1,0
claude,9,RawLLM,21,number,number,0,0,1
claude,9,RawLLM,22,shape,shape,0,0,0
claude,9,RawLLM,23,shape,shape,0,0,0
claude,9,RawLLM,24,color,color,0,1,0
claude,9,RawLLM,25,color,color,0,0,1
claude,9,RawLLM,26,color,color,0,0,1
claude,9,RawLLM,27,color,color,0,0,1
claude,9,RawLLM,28,color,color,0,0,1
claude,9,RawLLM,29,color,color,0,0,1
claude,9,RawLLM,30,color,color,0,0,1
claude,9,RawLLM,31,color,color,0,0,0
claude,9,RawLLM,32,color,color,0,0,0
claude,9,RawLLM,33,color,color,0,0,0
claude,9,RawLLM,34,color,color,0,0,0
claude,9,RawLLM,35,color,color,0,0,0
claude,9,RawLLM,36,number,number,0,1,0
claude,9,RuleBlindFull,1,color,color,0,1,0
claude,9,RuleBlindFull,2,color,color,0,1,0
claude,9,RuleBlindFull,3,color,color,0,1,0
claude,9,RuleBlindFull,4,color,color,0,1,0
claude,9,RuleBlindFull,5,color,color,0,1,0
claude,9,RuleBlindFull,6,color,color,0,1,0
claude,9,RuleBlindFull,7,color,color,0,0,1
claude,9,RuleBlindFull,8,color,color,0,0,1
claude,9,RuleBlindFull,9,color,shape,1,1,0
claude,9,RuleBlindFull,10,color,shape,1,1,0
claude,9,RuleBlindFull,11,color,color,0,0,1
claude,9,RuleBlindFull,12,number,number,0,0,0
claude,9,RuleBlindFull,13,color,color,0,0,0
claude,9,RuleBlindFull,14,color,color,0,0,0
claude,9,RuleBlindFull,15,color,color,0,0,0
claude,9,RuleBlindFull,16,color,color,0,0,0
claude,9,RuleBlindFull,17,color,color,0,0,0
claude,9,RuleBlindFull,18,color,color,0,0,0
claude,9,RuleBlindFull,19,number,number,0,0,1
claude,9,RuleBlindFull,20,color,color,0,1,0
claude,9,RuleBlindFull,21,number,number,0,0,1
claude,9,RuleBlindFull,22,shape,shape,0,0,0
claude,9,RuleBlindFull,23,shape,shape,0,0,0
claude,9,RuleBlindFull,24,color,color,0,1,0
claude,9,RuleBlindFull,25,color,color,0,0,1
claude,9,RuleBlindFull,26,color,color,0,0,1
claude,9,RuleBlindFull,27,color,color,0,0,1
claude,9,RuleBlindFull,28,color,color,0,0,1
claude,9,RuleBlindFull,29,color,color,0,0,1
claude,9,RuleBlindFull,30,color,color,0,0,1
claude,9,RuleBlindFull,31,color,color,0,0,0
claude,9,RuleBlindFull,32,color,color,0,0,0
claude,9,RuleBlindFull,33,color,color,0,0,0
claude,9,RuleBlindFull,34,color,color,0,0,0
claude,9,RuleBlindFull,35,color,color,0,0,0
claude,9,RuleBlindFull,36,number,number,0,1,0
claude,9,NoVeto,1,color,color,0,1,0
claude,9,NoVeto,2,color,color,0,1,0
claude,9,NoVeto,3,color,color,0,1,0
claude,9,NoVeto,4,color,color,0,1,0
claude,9,NoVeto,5,color,color,0,1,0
claude,9,NoVeto,6,color,color,0,1,0
claude,9,NoVeto,7,color,color,0,0,1
claude,9,NoVeto,8,color,color,0,0,1
claude,9,NoVeto,9,color,color,0,0,1
claude,9,NoVeto,10,color,color,0,0,1
claude,9,NoVeto,11,color,color,0,0,1
claude,9,NoVeto,12,number,number,0,0,0
claude,9,NoVeto,13,color,color,0,0,0
claude,9,NoVeto,14,color,color,0,0,0
claude,9,NoVeto,15,color,color,0,0,0
claude,9,NoVeto,16,color,color,0,0,0
claude,9,NoVeto,17,color,color,0,0,0
claude,9,NoVeto,18,color,color,0,0,0
claude,9,NoVeto,19,number,number,0,0,1
claude,9,NoVeto,20,color,color,0,1,0
claude,9,NoVeto,21,number,number,0,0,1
claude,9,NoVeto,22,shape,shape,0,0,0
claude,9,NoVeto,23,shape,shape,0,0,0
claude,9,NoVeto,24,color,color,0,1,0
claude,9,NoVeto,25,color,color,0,0,1
claude,9,NoVeto,26,color,color,0,0,1
claude,9,NoVeto,27,color,color,0,0,1
claude,9,NoVeto,28,color,color,0,0,1
claude,9,NoVeto,29,color,color,0,0,1
claude,9,NoVeto,30,color,color,0,0,1
claude,9,NoVeto,31,color,color,0,0,0
claude,9,NoVeto,32,color,color,0,0,0
claude,9,NoVeto,33,color,color,0,0,0
claude,9,NoVeto,34,color,color,0,0,0
claude,9,NoVeto,35,color,color,0,0,0
claude,9,NoVeto,36,number,number,0,1,0
claude,9,TrajectoryOnly,1,color,color,0,1,0
claude,9,TrajectoryOnly,2,color,color,0,1,0
claude,9,TrajectoryOnly,3,color,color,0,1,0
claude,9,TrajectoryOnly,4,color,color,0,1,0
claude,9,TrajectoryOnly,5,color,color,0,1,0
claude,9,TrajectoryOnly,6,color,shape,1,0,0
claude,9,TrajectoryOnly,7,color,color,0,0,1
claude,9,TrajectoryOnly,8,color,color,0,0,1
claude,9,TrajectoryOnly,9,color,color,0,0,1
claude,9,TrajectoryOnly,10,color,color,0,0,1
claude,9,TrajectoryOnly,11,color,color,0,0,1
claude,9,TrajectoryOnly,12,number,number,0,0,0
claude,9,TrajectoryOnly,13,color,color,0,0,0
claude,9,TrajectoryOnly,14,color,color,0,0,0
claude,9,TrajectoryOnly,15,color,color,0,0,0
claude,9,TrajectoryOnly,16,color,color,0,0,0
claude,9,TrajectoryOnly,17,color,color,0,0,0
claude,9,TrajectoryOnly,18,color,shape,1,0,1
claude,9,TrajectoryOnly,19,number,number,0,0,1
claude,9,TrajectoryOnly,20,color,color,0,1,0
claude,9,TrajectoryOnly,21,number,number,0,0,1
claude,9,TrajectoryOnly,22,shape,shape,0,0,0
claude,9,TrajectoryOnly,23,shape,shape,0,0,0
claude,9,TrajectoryOnly,24,color,color,0,1,0
